,grouping_fran
"1,3,5-cycloheptatriene",olefin
"1,3-cyclopentadiene, 5-methyl-",olefin
1-hexene,olefin
1-methyl-2-methylenecyclohexane,olefin
1-pentene,olefin
"1h-dibenzo[a,i]fluorene",other
"1h-dibenzo[a,i]fluorene, eicosahydro-",other
"1h-indole, 2,3-dihydro-1,3,3-trimethyl-2-methylene-",indole
"1h-indole, 2,6-dimethyl-",indole
"1h-indole, 5,7-dimethyl-",indole
"2,3,7-trimethylindole",indole
2-(2-methyl-propenyl)-cyclohexylamine,amine
2-(4'-hydroxyphenyl)-2-(4'-methoxyphenyl)propane,diphenol
2-cyclohexylpiperidine,other
2-hexadecyl-5-methylpyrrolidine,other
"2-methyl-z,z-3,13-octadecadienol",other
"3,3,5-trimethylcyclohexylamine",amine
"9-octadecynenitrile",other
9h-xathene,furan
"[1,1'-biphenyl]-2-ol, 5-(1,1-dimethylethyl)-",diphenol
"azacyclododeca-1,5,9-triene, 3,3-dimethyl-12-(1-methylethyl)-",other
"benzenamine, 2-methyl-4-[(2-methylphenyl)azo]-",amine
benzene,aromatic
"benzene, 1,1'-ethylidenebis[3,4-dimethyl-",diaromatic
"benzene, 1,2,3,4-tetramethyl-",aromatic
"benzene, 1,3-bis(1-methylethyl)-",aromatic
"benzene, 1-ethenyl-3-methyl-",aromatic
"benzene, 3-ethyl-1,2,4,5-tetramethyl-",aromatic
benzofuran,furan
"benzofuran, 2,3-dihydro",furan
"benzofuran, 2,3-dihydro-2-methyl-",furan
bicyclo[10.1.0]tridec-1-ene,other
"bicyclo[4.1.0]heptane, 2-methyl",alkane
c12h20,other
c10h9n,other
c14h26o,other
c15h24,other
c4 hcs mw = 56,olefin
c7h12,c7h12
cycloheptanemethanol,naphthene
cycloheptane,alkane
cyclohexane,naphthene
"cyclohexanamine, 3,6-diethenyl-2,2-dimethyl-n-(2-methylpropylidene)-",amine
"cyclohexane, 1,2-bis(methylene)-",naphthene
"cyclohexane, methyl-",naphthene
cyclohexene,olefin
"cyclohexene, 3,5-dimethyl-",olefin
"cyclohexene, 1-methyl-",olefin
"cyclohexene, 4-methyl",olefin
"cyclohexylamine, n-ethyl-",amine
"octa-2,4,6-triene",olefin
"cyclopentene, 4,4'-dimethyl-",naphthene
"decalin, 1-dimethylamino-, cis-",other
menthylamine,amine
p-cresol,phenol
p-xylene,phenol
phenol,phenol
"phenol, 2,4-dimethyl-",phenol
"phenol, 2-(1-methylethyl)-",phenol
"phenol, 2-(2-methyl-2-propenyl)-",phenol
"phenol, 2-[(4-hydroxyphenyl)methyl]-",diphenol
"phenol, 2-ethyl-",phenol
"phenol, 2-methyl-",phenol
"phenol, 4,4'-(1-methylethylidene)bis-",diphenol
"phenol, 4,4'-methylenebis-",diphenol
"phenol, 4-(1-methyl-1-phenylethyl)-",diphenol
propene,olefin
propane,alkane
tacrine,amine
"cyclohexanemethanol, 4-methyl-, trans-",phenol
"cyclopropane, ethylidene-",olefin
c14h22o,other
c15h23no2,other
c16h32o,other
c19h23no,other
c9h18o,other
c16h29n,other
c17h31n,other
"benzene, 1,4-bis(1-methylethyl)-",aromatic
